opponent_move,response,n_qualifying_players,n_players_using_response,pct_players_using,avg_frequency_across_players_pct,avg_winrate_across_players_pct
back-court drive,return net,30,30,100.0,62.2,50.3
back-court drive,drive,30,17,56.7,12.5,48.9
back-court drive,net shot,30,8,26.7,4.6,60.4
back-court drive,push,30,7,23.3,3.3,46.1
back-court drive,cross-court net shot,30,4,13.3,1.7,38.4
back-court drive,defensive return lob,30,4,13.3,3.1,47.5
back-court drive,defensive return drive,30,3,10.0,2.8,77.8
back-court drive,drop,30,2,6.7,2.2,73.2
back-court drive,wrist smash,30,2,6.7,2.0,83.3
back-court drive,back-court drive,30,1,3.3,1.1,100.0
back-court drive,rush,30,1,3.3,0.9,100.0
back-court drive,smash,30,1,3.3,1.1,100.0
back-court drive,clear,30,0,0.0,1.1,
back-court drive,driven flight,30,0,0.0,0.1,
back-court drive,lob,30,0,0.0,1.3,
clear,drop,42,42,100.0,27.4,47.9
clear,clear,42,41,97.6,29.4,47.5
clear,smash,42,40,95.2,24.1,60.4
clear,wrist smash,42,38,90.5,16.5,53.4
clear,back-court drive,42,16,38.1,1.9,47.9
clear,cross-court net shot,42,0,0.0,0.1,
clear,defensive return drive,42,0,0.0,0.0,
clear,defensive return lob,42,0,0.0,0.1,
clear,drive,42,0,0.0,0.0,
clear,lob,42,0,0.0,0.1,
clear,net shot,42,0,0.0,0.0,
clear,return net,42,0,0.0,0.4,
clear,rush,42,0,0.0,0.1,
cross-court net shot,lob,31,31,100.0,43.4,46.2
cross-court net shot,net shot,31,30,96.8,31.3,41.7
cross-court net shot,push,31,23,74.2,16.0,52.4
cross-court net shot,cross-court net shot,31,11,35.5,5.8,53.2
cross-court net shot,rush,31,7,22.6,2.2,72.2
cross-court net shot,return net,31,3,9.7,0.4,47.6
cross-court net shot,drive,31,1,3.2,0.5,50.0
cross-court net shot,clear,31,0,0.0,0.2,
cross-court net shot,defensive return drive,31,0,0.0,0.0,
cross-court net shot,defensive return lob,31,0,0.0,0.1,
cross-court net shot,driven flight,31,0,0.0,0.0,
cross-court net shot,smash,31,0,0.0,0.0,
cross-court net shot,wrist smash,31,0,0.0,0.1,
defensive return drive,return net,24,17,70.8,24.4,52.7
defensive return drive,drive,24,16,66.7,14.5,41.0
defensive return drive,clear,24,13,54.2,12.6,38.3
defensive return drive,smash,24,11,45.8,11.1,72.3
defensive return drive,wrist smash,24,7,29.2,7.5,46.7
defensive return drive,drop,24,6,25.0,7.2,29.2
defensive return drive,rush,24,6,25.0,6.1,47.2
defensive return drive,push,24,5,20.8,6.2,44.3
defensive return drive,back-court drive,24,2,8.3,3.5,61.9
defensive return drive,lob,24,2,8.3,2.0,66.7
defensive return drive,defensive return drive,24,1,4.2,1.5,60.0
defensive return drive,net shot,24,1,4.2,2.0,66.7
defensive return drive,cross-court net shot,24,0,0.0,0.3,
defensive return drive,defensive return lob,24,0,0.0,0.7,
defensive return drive,driven flight,24,0,0.0,0.4,
defensive return lob,smash,27,25,92.6,33.3,64.4
defensive return lob,clear,27,21,77.8,25.1,42.8
defensive return lob,drop,27,18,66.7,18.3,47.6
defensive return lob,wrist smash,27,18,66.7,17.3,52.7
defensive return lob,back-court drive,27,2,7.4,3.2,16.7
defensive return lob,return net,27,2,7.4,1.5,83.3
defensive return lob,defensive return drive,27,0,0.0,0.2,
defensive return lob,drive,27,0,0.0,0.1,
defensive return lob,rush,27,0,0.0,1.0,
drive,drive,30,30,100.0,36.2,49.2
drive,return net,30,30,100.0,36.8,48.2
drive,defensive return drive,30,11,36.7,6.2,33.9
drive,defensive return lob,30,9,30.0,6.4,55.4
drive,net shot,30,7,23.3,3.2,49.4
drive,push,30,7,23.3,2.4,65.7
drive,lob,30,4,13.3,1.8,35.8
drive,back-court drive,30,1,3.3,0.5,66.7
drive,cross-court net shot,30,1,3.3,1.0,66.7
drive,rush,30,1,3.3,1.2,80.0
drive,clear,30,0,0.0,1.0,
drive,driven flight,30,0,0.0,0.1,
drive,drop,30,0,0.0,0.3,
drive,smash,30,0,0.0,1.1,
drive,wrist smash,30,0,0.0,1.7,
driven flight,push,3,3,100.0,27.2,33.3
driven flight,driven flight,3,2,66.7,19.4,66.7
driven flight,net shot,3,2,66.7,23.6,66.7
driven flight,lob,3,1,33.3,15.0,75.0
