opponent_move,net shot,lob,return net,clear,drop,smash,push,wrist smash,cross-court net shot,drive,back-court drive,defensive return lob,defensive return drive,rush,driven flight
net shot,0.321,0.517,0.0,0.0,0.0,0.0,0.106,0.0,0.027,0.002,0.0,0.0,0.0,0.025,0.001
lob,0.001,0.001,0.001,0.285,0.248,0.274,0.0,0.149,0.0,0.001,0.039,0.0,0.0,0.0,0.0
return net,0.384,0.283,0.016,0.0,0.0,0.004,0.165,0.001,0.061,0.022,0.0,0.0,0.0,0.06,0.003
clear,0.0,0.0,0.002,0.321,0.262,0.237,0.0,0.16,0.0,0.0,0.016,0.0,0.0,0.0,0.0
drop,0.54,0.239,0.057,0.0,0.001,0.001,0.079,0.001,0.066,0.005,0.0,0.002,0.0,0.008,0.002
smash,0.01,0.002,0.828,0.0,0.001,0.001,0.0,0.0,0.029,0.004,0.0,0.061,0.062,0.0,0.0
push,0.003,0.006,0.066,0.317,0.123,0.135,0.019,0.112,0.001,0.063,0.128,0.016,0.008,0.002,0.001
wrist smash,0.022,0.009,0.752,0.001,0.001,0.0,0.006,0.001,0.039,0.009,0.001,0.076,0.083,0.0,0.0
cross-court net shot,0.334,0.419,0.009,0.001,0.0,0.001,0.165,0.001,0.043,0.006,0.0,0.001,0.001,0.021,0.001
drive,0.035,0.023,0.357,0.014,0.003,0.01,0.03,0.014,0.011,0.365,0.009,0.065,0.053,0.011,0.002
back-court drive,0.049,0.01,0.607,0.009,0.019,0.012,0.041,0.021,0.026,0.133,0.009,0.031,0.022,0.009,0.001
defensive return lob,0.0,0.0,0.015,0.244,0.205,0.319,0.0,0.171,0.0,0.003,0.031,0.0,0.001,0.01,0.0
defensive return drive,0.019,0.026,0.242,0.131,0.068,0.117,0.057,0.082,0.003,0.138,0.03,0.011,0.014,0.059,0.003
rush,0.004,0.014,0.38,0.002,0.0,0.0,0.014,0.002,0.002,0.057,0.002,0.234,0.287,0.004,0.0
driven flight,0.198,0.077,0.066,0.011,0.0,0.011,0.264,0.0,0.011,0.143,0.011,0.0,0.0,0.022,0.187
