player,match,opponent_move,response,probability
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,drive,0.25
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,push,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,return net,0.75
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,clear,0.432
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,drop,0.148
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,push,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,return net,0.011
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,smash,0.273
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,wrist smash,0.136
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,cross-court net shot,0.033
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,drive,0.033
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,lob,0.3
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,net shot,0.2
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,push,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,return net,0.1
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,clear,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,drive,0.667
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,push,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,return net,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,defensive return drive,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,clear,0.071
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,drive,0.643
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,push,0.071
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,return net,0.214
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drive,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,cross-court net shot,0.188
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,drive,0.021
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,lob,0.062
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,net shot,0.271
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,push,0.125
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,return net,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,drop,wrist smash,0.0
