opponent_move,net shot,lob,return net,clear,drop,smash,push,wrist smash,cross-court net shot,drive,back-court drive,defensive return lob,defensive return drive,rush,driven flight
net shot,4620.0,7448.0,1.0,2.0,2.0,3.0,1534.0,4.0,390.0,36.0,,2.0,,356.0,8.0
lob,9.0,15.0,17.0,3507.0,3043.0,3380.0,2.0,1831.0,5.0,12.0,480.0,2.0,1.0,5.0,2.0
return net,3144.0,2303.0,127.0,4.0,,35.0,1346.0,9.0,503.0,178.0,4.0,3.0,4.0,488.0,21.0
clear,1.0,1.0,17.0,2203.0,1806.0,1629.0,,1104.0,3.0,1.0,106.0,1.0,2.0,2.0,
drop,2975.0,1315.0,307.0,2.0,8.0,3.0,434.0,5.0,362.0,25.0,,11.0,1.0,46.0,9.0
smash,48.0,12.0,4174.0,2.0,7.0,3.0,2.0,1.0,148.0,22.0,,309.0,311.0,,1.0
push,11.0,27.0,285.0,1378.0,534.0,587.0,82.0,486.0,3.0,273.0,557.0,69.0,36.0,10.0,3.0
wrist smash,76.0,29.0,2565.0,2.0,2.0,,20.0,3.0,134.0,32.0,2.0,261.0,284.0,1.0,
cross-court net shot,661.0,833.0,18.0,2.0,,1.0,328.0,1.0,85.0,11.0,,1.0,1.0,42.0,2.0
drive,46.0,30.0,475.0,18.0,4.0,13.0,40.0,18.0,14.0,486.0,12.0,86.0,70.0,15.0,2.0
back-court drive,57.0,12.0,705.0,11.0,22.0,14.0,48.0,25.0,30.0,155.0,11.0,36.0,26.0,11.0,1.0
defensive return lob,,,12.0,194.0,162.0,254.0,,136.0,,2.0,25.0,,1.0,8.0,
defensive return drive,14.0,19.0,177.0,95.0,50.0,86.0,42.0,60.0,2.0,101.0,22.0,8.0,10.0,43.0,2.0
rush,2.0,7.0,195.0,1.0,,,7.0,1.0,1.0,28.0,1.0,120.0,147.0,2.0,
driven flight,18.0,7.0,6.0,1.0,,1.0,24.0,,1.0,13.0,1.0,,,2.0,17.0
