opponent_move,net shot,lob,return net,clear,drop,smash,push,wrist smash,cross-court net shot,drive,back-court drive,defensive return lob,defensive return drive,rush,driven flight
net shot,47.8,48.3,,,,,51.2,,45.6,58.3,,,,77.2,
lob,,,,45.9,50.0,54.7,,51.4,,,47.3,,,,
return net,47.6,46.4,45.7,,,88.6,49.1,,46.1,51.7,,,,66.8,42.9
clear,,,,48.5,51.8,59.9,,54.5,,,44.3,,,,
drop,47.0,48.4,49.2,,,,49.1,,49.2,40.0,,,,65.2,
smash,50.0,,45.3,,,,,,54.1,50.0,,44.3,43.7,,
push,,33.3,51.9,42.7,52.2,55.4,50.0,50.8,,51.6,47.4,40.6,52.8,,
wrist smash,53.9,62.1,47.3,,,,40.0,,52.2,50.0,,48.3,56.0,,
cross-court net shot,46.6,48.3,,,,,51.8,,50.6,,,,,69.0,
drive,45.7,36.7,46.3,,,,67.5,,,48.4,,52.3,41.4,,
back-court drive,66.7,,50.1,,59.1,,50.0,64.0,43.3,50.3,,50.0,50.0,,
defensive return lob,,,,42.8,45.1,65.0,,50.0,,,40.0,,,,
defensive return drive,,,50.3,36.8,44.0,69.8,38.1,55.0,,41.6,36.4,,,55.8,
rush,,,29.7,,,,,,,25.0,,48.3,53.7,,
driven flight,,,,,,,50.0,,,,,,,,
