opponent_move,opp_landing_zone,response,n_qualifying_players,n_players_using,pct_players_using,avg_frequency_pct,n_reliable_players,avg_win_score_pct,optimal_response
back-court drive,back,drive,5,4,80.0,14.9,3,100.0,True
back-court drive,back,return net,5,5,100.0,56.0,5,90.6,False
back-court drive,back,cross-court net,5,1,20.0,1.1,0,,False
back-court drive,back,defensive drive,5,1,20.0,1.2,0,,False
back-court drive,back,defensive lob,5,3,60.0,4.9,0,,False
back-court drive,back,lob,5,2,40.0,2.4,0,,False
back-court drive,back,net shot,5,3,60.0,5.4,0,,False
back-court drive,back,push,5,3,60.0,8.0,0,,False
back-court drive,back,rush,5,2,40.0,3.1,0,,False
back-court drive,back,smash,5,2,40.0,2.0,0,,False
back-court drive,back,wrist smash,5,1,20.0,1.1,0,,False
back-court drive,front,net shot,1,1,100.0,87.5,1,,False
back-court drive,front,push,1,1,100.0,12.5,0,,False
back-court drive,mid,defensive lob,27,9,33.3,2.9,2,100.0,True
back-court drive,mid,net shot,27,11,40.7,2.9,2,100.0,False
back-court drive,mid,return net,27,27,100.0,67.6,26,96.8,False
back-court drive,mid,drive,27,21,77.8,10.4,5,96.4,False
back-court drive,mid,push,27,10,37.0,4.8,4,91.7,False
back-court drive,mid,back-court drive,27,3,11.1,0.6,0,,False
back-court drive,mid,clear,27,5,18.5,1.5,0,,False
back-court drive,mid,cross-court net,27,3,11.1,0.5,0,,False
back-court drive,mid,defensive drive,27,10,37.0,2.8,0,,False
back-court drive,mid,drop,27,5,18.5,1.6,0,,False
back-court drive,mid,lob,27,6,22.2,1.9,0,,False
back-court drive,mid,passive drop,27,1,3.7,0.1,0,,False
back-court drive,mid,smash,27,2,7.4,0.3,0,,False
back-court drive,mid,wrist smash,27,9,33.3,2.2,0,,False
clear,back,passive drop,32,12,37.5,1.5,4,100.0,True
clear,back,wrist smash,32,29,90.6,16.8,23,94.8,False
clear,back,clear,32,30,93.8,24.0,26,92.5,False
clear,back,drop,32,31,96.9,28.0,29,91.6,False
clear,back,smash,32,32,100.0,28.6,29,91.6,False
clear,back,back-court drive,32,3,9.4,0.5,0,,False
clear,back,net shot,32,1,3.1,0.1,0,,False
clear,back,return net,32,4,12.5,0.2,0,,False
clear,back,rush,32,1,3.1,0.3,0,,False
clear,front,back-court drive,27,12,44.4,3.1,3,100.0,True
clear,front,clear,27,27,100.0,31.7,24,94.1,False
clear,front,drop,27,27,100.0,29.1,22,93.7,False
clear,front,passive drop,27,18,66.7,7.8,10,91.8,False
clear,front,wrist smash,27,24,88.9,11.6,10,87.6,False
clear,front,smash,27,23,85.2,16.6,19,87.5,False
clear,front,return net,27,1,3.7,0.1,0,,False
clear,mid,back-court drive,33,19,57.6,2.0,7,100.0,True
clear,mid,passive drop,33,27,81.8,7.0,17,96.3,False
clear,mid,clear,33,32,97.0,30.0,31,94.6,False
clear,mid,wrist smash,33,30,90.9,12.3,25,91.8,False
clear,mid,drop,33,33,100.0,25.0,32,90.7,False
clear,mid,smash,33,33,100.0,23.6,32,90.1,False
clear,mid,return net,33,1,3.0,0.0,0,,False
cross-court net,back,cross-court net,12,7,58.3,7.0,2,100.0,True
cross-court net,back,lob,12,11,91.7,34.7,8,100.0,False
cross-court net,back,net shot,12,12,100.0,29.7,9,97.2,False
cross-court net,back,push,12,8,66.7,17.9,7,92.9,False
cross-court net,back,rush,12,6,50.0,8.9,2,80.0,False
cross-court net,back,defensive drive,12,1,8.3,0.4,0,,False
cross-court net,back,drive,12,1,8.3,1.0,0,,False
cross-court net,back,return net,12,1,8.3,0.4,0,,False
cross-court net,front,cross-court net,23,13,56.5,5.3,2,100.0,True
cross-court net,front,lob,23,23,100.0,50.3,23,95.2,False
cross-court net,front,net shot,23,22,95.7,28.4,18,91.1,False
cross-court net,front,push,23,21,91.3,15.6,10,90.2,False
cross-court net,front,drive,23,1,4.3,0.3,0,,False
cross-court net,front,rush,23,1,4.3,0.1,0,,False
defensive drive,back,smash,12,9,75.0,13.3,4,100.0,True
defensive drive,back,return net,12,12,100.0,20.2,7,98.2,False
defensive drive,back,drive,12,11,91.7,21.5,7,96.4,False
defensive drive,back,rush,12,4,33.3,5.2,2,83.3,False
defensive drive,back,back-court drive,12,2,16.7,1.4,0,,False
defensive drive,back,clear,12,8,66.7,6.6,1,,False
defensive drive,back,defensive drive,12,2,16.7,1.4,0,,False
defensive drive,back,defensive lob,12,2,16.7,1.1,0,,False
defensive drive,back,drop,12,6,50.0,5.9,1,,False
defensive drive,back,lob,12,3,25.0,2.7,1,,False
defensive drive,back,net shot,12,3,25.0,2.1,0,,False
defensive drive,back,passive drop,12,3,25.0,2.9,0,,False
defensive drive,back,push,12,5,41.7,3.9,0,,False
defensive drive,back,wrist smash,12,11,91.7,11.6,1,,False
defensive drive,mid,passive drop,8,6,75.0,13.5,2,100.0,True
defensive drive,mid,clear,8,7,87.5,17.9,3,93.3,False
defensive drive,mid,return net,8,8,100.0,24.2,4,87.5,False
defensive drive,mid,back-court drive,8,4,50.0,4.7,0,,False
defensive drive,mid,defensive lob,8,2,25.0,2.5,0,,False
defensive drive,mid,drive,8,4,50.0,6.1,0,,False
defensive drive,mid,drop,8,5,62.5,7.1,1,,False
defensive drive,mid,lob,8,1,12.5,1.1,0,,False
defensive drive,mid,net shot,8,2,25.0,1.8,0,,False
defensive drive,mid,push,8,2,25.0,3.1,0,,False
defensive drive,mid,rush,8,1,12.5,1.6,0,,False
defensive drive,mid,smash,8,3,37.5,5.0,1,,False
defensive drive,mid,wrist smash,8,6,75.0,11.3,1,,False
defensive lob,back,clear,15,12,80.0,15.6,7,94.0,True
defensive lob,back,smash,15,14,93.3,33.5,13,94.0,False
defensive lob,back,wrist smash,15,14,93.3,21.2,10,91.7,False
defensive lob,back,drop,15,14,93.3,20.0,7,88.7,False
defensive lob,back,back-court drive,15,3,20.0,1.9,0,,False
defensive lob,back,drive,15,1,6.7,0.7,0,,False
defensive lob,back,passive drop,15,6,40.0,4.4,1,,False
defensive lob,back,return net,15,2,13.3,1.3,0,,False
defensive lob,back,rush,15,3,20.0,1.3,0,,False
defensive lob,mid,drop,11,9,81.8,18.6,6,100.0,True
defensive lob,mid,clear,11,11,100.0,35.2,8,97.1,False
defensive lob,mid,smash,11,10,90.9,22.2,7,96.8,False
defensive lob,mid,wrist smash,11,6,54.5,12.2,3,95.8,False
defensive lob,mid,back-court drive,11,6,54.5,6.2,0,,False
defensive lob,mid,passive drop,11,3,27.3,2.9,0,,False
defensive lob,mid,return net,11,3,27.3,1.8,0,,False
defensive lob,mid,rush,11,1,9.1,0.9,0,,False
drive,back,return net,21,21,100.0,35.8,19,97.5,True
drive,back,drive,21,21,100.0,42.7,21,91.6,False
drive,back,defensive lob,21,13,61.9,6.5,5,86.5,False
drive,back,back-court drive,21,1,4.8,0.1,0,,False
drive,back,clear,21,2,9.5,0.3,0,,False
drive,back,cross-court net,21,2,9.5,1.0,1,,False
drive,back,defensive drive,21,14,66.7,4.9,1,,False
drive,back,lob,21,6,28.6,1.4,0,,False
drive,back,net shot,21,5,23.8,2.1,0,,False
drive,back,push,21,4,19.0,1.4,0,,False
drive,back,rush,21,2,9.5,0.8,0,,False
drive,back,smash,21,6,28.6,1.3,0,,False
drive,back,wrist smash,21,6,28.6,1.8,0,,False
drive,mid,drive,12,11,91.7,33.7,9,94.4,True
drive,mid,return net,12,12,100.0,37.2,10,89.3,False
drive,mid,defensive lob,12,5,41.7,9.5,2,83.3,False
drive,mid,back-court drive,12,2,16.7,1.4,0,,False
drive,mid,clear,12,2,16.7,1.8,0,,False
drive,mid,defensive drive,12,5,41.7,6.2,1,,False
drive,mid,drop,12,1,8.3,0.6,0,,False
drive,mid,lob,12,3,25.0,3.4,0,,False
drive,mid,net shot,12,4,33.3,2.5,0,,False
drive,mid,push,12,2,16.7,1.1,0,,False
drive,mid,rush,12,2,16.7,1.8,0,,False
drive,mid,wrist smash,12,1,8.3,0.9,0,,False
drop,back,rush,29,10,34.5,2.1,2,100.0,True
drop,back,return net,29,16,55.2,8.3,5,98.6,False
drop,back,lob,29,27,93.1,15.2,14,96.3,False
drop,back,net shot,29,29,100.0,56.9,28,95.4,False
drop,back,push,29,23,79.3,8.4,10,94.2,False
drop,back,cross-court net,29,18,62.1,7.6,6,90.3,False
drop,back,defensive lob,29,1,3.4,0.2,0,,False
drop,back,drive,29,7,24.1,0.9,0,,False
drop,back,driven flight,29,1,3.4,0.1,0,,False
drop,back,drop,29,1,3.4,0.0,0,,False
drop,back,smash,29,1,3.4,0.2,0,,False
